trajectory_budget,replicate_budget,minimum_sufficient_interface,interface_label,status,mean_accuracy_at_minimum,ci_low_at_minimum
T1_static,1,J4_full_boundary_geometry,J4 full geometry,IDENTIFIABLE,1.0,1.0
T3_sparse,1,J3_skeleton_shape,J3 skeleton shape,IDENTIFIABLE,1.0,1.0
T9_full,1,J3_skeleton_shape,J3 skeleton shape,IDENTIFIABLE,1.0,1.0
T1_static,3,J4_full_boundary_geometry,J4 full geometry,IDENTIFIABLE,1.0,1.0
T3_sparse,3,J3_skeleton_shape,J3 skeleton shape,IDENTIFIABLE,1.0,1.0
T9_full,3,J3_skeleton_shape,J3 skeleton shape,IDENTIFIABLE,0.9583333333333334,0.875
T1_static,10,J4_full_boundary_geometry,J4 full geometry,IDENTIFIABLE,1.0,1.0
T3_sparse,10,J3_skeleton_shape,J3 skeleton shape,IDENTIFIABLE,1.0,1.0
T9_full,10,J3_skeleton_shape,J3 skeleton shape,IDENTIFIABLE,1.0,1.0
T1_static,100,J3_skeleton_shape,J3 skeleton shape,IDENTIFIABLE,0.7083333333333334,0.5833333333333334
T3_sparse,100,J3_skeleton_shape,J3 skeleton shape,IDENTIFIABLE,1.0,1.0
T9_full,100,J3_skeleton_shape,J3 skeleton shape,IDENTIFIABLE,1.0,1.0
